train_accuracy,test_accuracy,train_test_gap,member_mean_loss,nonmember_mean_loss,mia_loss_auc,mia_confidence_auc,mia_gradient_auc,mia_combined_auc,mia_combined_tpr_at_1pct_fpr,mia_combined_tpr_at_10pct_fpr,mode,dataset,model_arch,epsilon,actual_epsilon,clip_norm,epochs,batch_size,learning_rate,seed,runtime_seconds
0.699999988079071,0.6934999823570251,0.0065000057220458984,0.7507371306419373,0.8002092242240906,0.506875,0.5132000000000001,0.5140250000000001,0.47185,0.02,0.065,non_private,fmnist,small_cnn,,,1.0,15,64,0.001,7,2.03
0.3725000023841858,0.36550000309944153,0.006999999284744263,2.978217363357544,2.948490619659424,0.48202500000000004,0.46237500000000004,0.485575,0.494875,0.0,0.04,dp_sgd,fmnist,small_cnn,1.0,0.9965106786530695,1.0,15,64,0.1,7,2.93
0.26750001311302185,0.2720000147819519,-0.004500001668930054,2.2507784366607666,2.2433762550354004,0.46872500000000006,0.463175,0.5151749999999999,0.4854250000000001,0.015,0.09,dp_adam,fmnist,small_cnn,1.0,0.9965106786530695,1.0,15,64,0.001,7,2.79
0.5837500095367432,0.5720000267028809,0.011749982833862305,1.5508451461791992,1.7062172889709473,0.50025,0.48382499999999995,0.5016499999999999,0.47127500000000005,0.0,0.115,dp_sgd,fmnist,small_cnn,2.0,1.9930884078046642,1.0,15,64,0.1,7,2.88
0.30125001072883606,0.2815000116825104,0.019749999046325684,2.212843418121338,2.202730417251587,0.47352500000000003,0.462175,0.5069250000000001,0.45135,0.025,0.08,dp_adam,fmnist,small_cnn,2.0,1.9930884078046642,1.0,15,64,0.001,7,2.89
0.6387500166893005,0.6309999823570251,0.007750034332275391,1.113374948501587,1.2716361284255981,0.504375,0.47785,0.5051749999999999,0.48367499999999997,0.0,0.14,dp_sgd,fmnist,small_cnn,4.0,3.9996975606779483,1.0,15,64,0.1,7,3.03
0.32749998569488525,0.3149999976158142,0.012499988079071045,2.154907464981079,2.1408638954162598,0.4741,0.46485,0.48277499999999995,0.44465000000000005,0.01,0.05,dp_adam,fmnist,small_cnn,4.0,3.9996975606779483,1.0,15,64,0.001,7,3.11
0.6587499976158142,0.6455000042915344,0.013249993324279785,1.06381094455719,1.2226444482803345,0.505075,0.455075,0.504175,0.50815,0.0,0.085,dp_sgd,fmnist,small_cnn,8.0,7.9957375146805845,1.0,15,64,0.1,7,3.2
0.3512499928474426,0.3569999933242798,-0.005750000476837158,2.080847978591919,2.0608701705932617,0.4756,0.4770750000000001,0.473275,0.44315,0.01,0.05,dp_adam,fmnist,small_cnn,8.0,7.9957375146805845,1.0,15,64,0.001,7,3.29
0.8112499713897705,0.7649999856948853,0.046249985694885254,0.4684673547744751,0.7891106605529785,0.5477000000000001,0.5026,0.548425,0.539,0.0,0.045,non_private,fmnist,deep_cnn,,,1.0,15,64,0.001,7,16.15
0.2487500011920929,0.23800000548362732,0.010749995708465576,14.634373664855957,13.953639030456543,0.4763875,0.5116875000000001,0.474375,0.4507,0.005,0.04,dp_sgd,fmnist,deep_cnn,1.0,0.9965106786530695,1.0,15,64,0.1,7,23.45
0.3987500071525574,0.3734999895095825,0.025250017642974854,2.14300274848938,2.1357970237731934,0.477375,0.48555,0.47902500000000003,0.47955000000000003,0.01,0.135,dp_adam,fmnist,deep_cnn,1.0,0.9965106786530695,1.0,15,64,0.001,7,24.29
0.32749998569488525,0.3384999930858612,-0.011000007390975952,3.408491849899292,3.6082825660705566,0.514675,0.4855750000000001,0.49710000000000004,0.486975,0.005,0.135,dp_sgd,fmnist,deep_cnn,2.0,1.9930884078046642,1.0,15,64,0.1,7,24.6
0.48500001430511475,0.4754999876022339,0.00950002670288086,2.007122278213501,1.9965851306915283,0.48097500000000004,0.48992500000000005,0.47702500000000003,0.4533,0.005,0.06,dp_adam,fmnist,deep_cnn,2.0,1.9930884078046642,1.0,15,64,0.001,7,23.82
0.5887500047683716,0.5764999985694885,0.012250006198883057,1.8183499574661255,1.8898626565933228,0.49362500000000004,0.489,0.493175,0.40420000000000006,0.0,0.08,dp_sgd,fmnist,deep_cnn,4.0,3.9996975606779483,1.0,15,64,0.1,7,23.67
0.5212500095367432,0.5189999938011169,0.0022500157356262207,1.8182313442230225,1.8026494979858398,0.480575,0.478825,0.47565,0.47175000000000006,0.02,0.08,dp_adam,fmnist,deep_cnn,4.0,3.9996975606779483,1.0,15,64,0.001,7,23.74
0.6075000166893005,0.6060000061988831,0.0015000104904174805,1.3907946348190308,1.655056357383728,0.50845,0.46790000000000004,0.5047750000000001,0.4868,0.005,0.05,dp_sgd,fmnist,deep_cnn,8.0,7.9957375146805845,1.0,15,64,0.1,7,23.71
0.5662500262260437,0.5515000224113464,0.014750003814697266,1.6087851524353027,1.5865248441696167,0.48390000000000005,0.47117500000000007,0.4737,0.4786250000000001,0.01,0.105,dp_adam,fmnist,deep_cnn,8.0,7.9957375146805845,1.0,15,64,0.001,7,23.85
0.47999998927116394,0.37049999833106995,0.109499990940094,1.4980984926223755,1.7408976554870605,0.5907250000000001,0.5124500000000001,0.5602750000000001,0.5672,0.03,0.155,non_private,cifar10,small_cnn,,,1.0,15,64,0.001,7,2.61
0.17125000059604645,0.19099999964237213,-0.019749999046325684,2.717067241668701,2.900634765625,0.5025499999999999,0.53315,0.50585,0.514275,0.005,0.095,dp_sgd,cifar10,small_cnn,1.0,0.9965106786530695,1.0,15,64,0.1,7,4.45
0.18125000596046448,0.1535000056028366,0.02775000035762787,2.2561697959899902,2.263716697692871,0.51575,0.5137,0.5092,0.45655000000000007,0.005,0.135,dp_adam,cifar10,small_cnn,1.0,0.9965106786530695,1.0,15,64,0.001,7,4.52
0.26625001430511475,0.25,0.016250014305114746,2.283235549926758,2.4764130115509033,0.5332250000000001,0.502675,0.540025,0.48492499999999994,0.005,0.14,dp_sgd,cifar10,small_cnn,2.0,1.9930884078046642,1.0,15,64,0.1,7,4.59
0.1912499964237213,0.16349999606609344,0.02775000035762787,2.224670171737671,2.236475706100464,0.5191749999999999,0.5179,0.52805,0.491675,0.0,0.14,dp_adam,cifar10,small_cnn,2.0,1.9930884078046642,1.0,15,64,0.001,7,4.57
0.3512499928474426,0.3109999895095825,0.04025000333786011,1.8842452764511108,2.092984676361084,0.54565,0.526875,0.536775,0.5169,0.02,0.2,dp_sgd,cifar10,small_cnn,4.0,3.9996975606779483,1.0,15,64,0.1,7,4.5
0.21875,0.20649999380111694,0.012250006198883057,2.1725986003875732,2.1871542930603027,0.5233000000000001,0.52915,0.5349,0.51115,0.0,0.135,dp_adam,cifar10,small_cnn,4.0,3.9996975606779483,1.0,15,64,0.001,7,4.74
0.39250001311302185,0.3190000057220459,0.07350000739097595,1.8639057874679565,2.008908271789551,0.539125,0.5678,0.524475,0.55945,0.005,0.175,dp_sgd,cifar10,small_cnn,8.0,7.9957375146805845,1.0,15,64,0.1,7,4.38
0.27000001072883606,0.2395000010728836,0.030500009655952454,2.111119270324707,2.1255102157592773,0.5269750000000001,0.537525,0.537175,0.543025,0.035,0.15,dp_adam,cifar10,small_cnn,8.0,7.9957375146805845,1.0,15,64,0.001,7,4.85
0.44874998927116394,0.3310000002384186,0.11774998903274536,1.386356234550476,1.8583773374557495,0.611075,0.4872250000000001,0.564575,0.61555,0.02,0.155,non_private,cifar10,deep_cnn,,,1.0,15,64,0.001,7,23.03
